,rho,E[N]_10_1,P_loss_10_1,E[N]_25_1,P_loss_25_1,E[N]_50_1,P_loss_50_1,E[N]_10_2,P_loss_10_2,E[N]_25_2,P_loss_25_2,E[N]_50_2,P_loss_50_2,Percent_Error_cap_50
0,0.5,0.9755796398963917,0.00045870636756865506,1.0018193412558662,0.0,0.9950386041865127,0.0,0.9889924334972849,0.0004228262023994886,1.0023732393435507,0.0,0.9926591546389031,0.0,0.2391313801895059
1,0.6,1.4525209089606022,0.0025442662309513486,1.480523766725251,0.0,1.5143170573801283,0.0,1.4576835494411098,0.0024615661902632124,1.5091043753266562,0.0,1.4888939622949644,0.0,1.6788488884320978
2,0.7,2.110797414285388,0.009090935071690068,2.33166493239778,9.158898299020856e-05,2.352728746392547,0.0,2.1144020516358037,0.008866505786133544,2.3004735518099966,2.716575399265095e-05,2.3332058439529986,0.0,0.8297982701780995
3,0.7999999999999999,2.9424030298942236,0.023231055567662893,3.931410816817096,0.0008395906995339772,3.8421196029831255,0.0,2.9829491675887896,0.024073588369740342,3.908231750892546,0.0010138382665117955,3.9787248996988462,0.0,3.555467055467422
4,0.8999999999999999,3.995093544305597,0.05080122590002085,7.183201692931832,0.007226538194876535,8.982735580950434,0.0006391435476461541,3.9686147337766147,0.05146380827064742,7.100964704471832,0.007054661957629785,8.509424610120561,0.00032234578810766347,5.269118372287583
5,0.9999999999999999,5.010965593429289,0.09214416063865298,12.649403202992563,0.04017736764838062,25.007180141250384,0.019639309032481397,5.016088313192121,0.0912192973080423,12.546259758660042,0.038291764291940214,24.687553523181872,0.01821544327549556,1.27813938342162
6,1.0999999999999999,5.960815530944246,0.140961134157931,17.479049155666644,0.1009769321820334,40.41720994998533,0.09170418286718811,5.954581303008973,0.14078747634123914,17.324803129207996,0.09899755976575204,40.686718692036095,0.09369281743849395,0.666816790135375
7,1.2,6.687656655058088,0.19126161022949728,20.297321943591438,0.16826163198892619,44.916538543009686,0.16460144843008975,6.716266095535998,0.19213289701315214,20.23929094163279,0.16868506413660467,45.05819620388733,0.16773371317190194,0.3153797364460691
8,1.3,7.303235902039922,0.24300479222901744,21.72535576722417,0.23244779887364567,46.57950708346744,0.22691588554552083,7.346547967286454,0.2462150665859378,21.706473905810334,0.23130056444748978,46.684927005513856,0.2316306965318386,0.22632253677032252
9,1.4000000000000001,7.783976303003433,0.2955260700000713,22.492252924805406,0.285282353041944,47.50635479541056,0.2880578952394935,7.782131318837213,0.29273588052086436,22.506038636473697,0.28566046233972353,47.49427949814987,0.286395105527071,0.025418277855014725
